domain_id,Name
1,ChrisPaul_Smith
1,_ChrisPaul
1,its_chrispaul
1,its_chrispaul
1,its_chrispaul
1,_ChrisPaul
1,_ChrisPaul
1,RockinFreelance
1,FastlaneMillio1
1,SptsBooks
1,_ChrisPaul
1,_ChrisPaul
1,_ChrisPaul
1,_ChrisPaul
1,PlayerlineNBA
1,Rellanomics
1,NbaLegado
1,its_chrispaul
1,_ChrisPaul
1,DiabeticCyborgg
1,its_chrispaul
1,its_chrispaul
1,its_chrispaul
1,Ali07316593
1,its_chrispaul
1,its_chrispaul
1,marinasaurusrex
1,its_chrispaul
1,its_chrispaul
1,SArenadaily
1,In_da_paint
1,Ali07316593
1,its_chrispaul
1,its_chrispaul
1,SSoysby
1,PlayerlineNBA
1,_ChrisPaul
1,_ChrisPaul
1,villecosby
1,__ambbs
1,darnyb
1,PapaChilly61
1,chaisnuclear
1,82and0Rockets
0,MLC22_
0,RossTrivisonno
0,svgb23
0,RafiRubiano
0,BirdiWorld
0,ShahSilas
0,Chibettor
0,paco_afan
0,hass10009
0,soybomb7
0,_Thirst22
0,OnBabyImBaby
0,marcosgnz22
0,pat_herbabuena
0,iron_beanmachin
0,BengalSadness
0,robinson_rj
0,sherylwginae
0,virginswag
0,TrevorMartinTho
0,abboudi_x
0,sherylwginae
0,Natural_OneDurr
0,d2derrick
0,ftank58
0,JUANELOX98
0,gr3101997
0,B2_Wallets
0,Stephenjf4
0,ConvrtibleBert
0,NBAspanish
0,thewisecitizens
0,Harden_MVP_SZN
0,htxJxcob
0,Joe_Feraci_III
0,ScrewstonCorey
0,B_Ball_Stuff
0,_aaronpaz1
0,ilovelifeerrday
0,AstrosKyle
0,MeatOdolla
0,GirlThatsPOLO
0,STEPH_BOYARDI
0,countryboy24577
0,mwtrizzle
0,Parabolica_1
0,marcosgnz22
0,BCJAY5
0,MatthewReilly96
0,RossTrivisonno
5,txbluntman
5,johnadeleon
5,VTGSportsWave
5,warriors_james
5,VTGSportsWave
5,St3pDaDz2K
5,St3pDaDz2K
5,bajanpatrick
5,St3pDaDz2K
5,St3pDaDz2K
5,tK8t4VAt2arjnNB
5,MayorSackJones
5,Soles4you_
5,DiabeticCyborgg
5,TemmyCR
5,DURANTISGOAT
5,gaxiola_jared
5,theluireport
5,NbaLegado
5,ChecklistsforUS
5,xygeegibsons
5,VTGSportsWave
5,costanzo740
5,SKIPTWEETBOT
5,howniceapparel
5,KollegeKidd
5,jameshdosher
5,tK8t4VAt2arjnNB
5,adriancheddie
5,chrisconeway1
5,DGdesigns10
5,1PRIMEAD
5,UNCAABrand
5,helmetsoffshow
5,swagafiedkicks
5,ChrisEcto1
5,OddsnNews
5,RickJames
5,GeorgiaAchiever
5,shyamal_chandra
5,0nly1Ronn
5,LooselinesRJ
5,the__jdannie
5,howniceapparel
5,MosleyShyniece
5,St3pDaDz2K
5,St3pDaDz2K
5,OddsnNews
5,JazzSportsBook
5,PlayerlineNBA
4,ssutecas
4,triplethreat023
4,VTGSportsWave
4,_stephencurry
4,MunnSavanna
4,tK8t4VAt2arjnNB
4,jaspher_flores
4,JoanneSpruceC21
4,PropertiesReal
4,homeshopbuzz
4,kaiden39373356
4,_stephencurry
4,PatsyFlannagan6
4,davidsimonism
4,HiddenRemote
4,dhgate
4,louraconn
4,transPR
4,_stephencurry
4,_stephencurry
4,_stephencurry
4,gbrandman
4,RealPhatsBlog
4,_stephencurry
4,TEAM_ADVAN
4,_stephencurry
4,_stephencurry
4,_stephencurry
4,_cnyncssndra
4,SavingsTeam
4,SavingsTeam
4,SLAM_Webshop
4,SLAM_Webshop
4,SLAM_Webshop
4,SLAM_Webshop
4,SJ6_NNN
4,zsJv6FejKgxoqPh
4,eedD0GAopkywkd4
4,zsJv6FejKgxoqPh
4,Mr_Fitness_boy
4,Mr_Fitness_boy
4,Mr_Fitness_boy
4,Mr_Fitness_boy
4,SLAMJAPAN
4,SLAMJAPAN
4,SLAMJAPAN
4,SLAMJAPAN
4,basketballdoga
4,Alex_Edwards2
4,ao_arianagrande
