mediaid,name_screen,caption,comments,likes,related_player_id
35710,graphix.hunter,"James Harden edit棣冩尨棣冩啠 Arguably one of the best players in the league right now #jamesharden #sportsedit #houstenrockets #rockets #jameshardenedit",12,102,12043476
327343,rtb.edits,"#JamesHarden Cookin!",2,13,12043476
529586,officialsportsedits313,"Requested by @brycehornsby3 #jamesharden #jameshardenedit #houstonrockets",3,11,12043476
665897,speed.graphix,"#jamesharden #harden #mvp #nbamvp #hardenedit #jameshardenedit #nbaedit #basketballedit My first collab! Skin by @773digitalz the rest I did. How did we do?",2,31,12043476
740730,the_undefeated_edits,#jameshardenedit#2,0,4,12043476
705958,makasnbaedites,"@jamesharden_hou  #JamesHardenEdit  #MakasNBAEdits 棣冩棣冩",1,4,12043476
307597,basketball_islyfe,#jameshardenedit,0,5,12043476
420112,fresh_edits92,"Mr.James Harden for @_hoopingismyhigh #jamesharden #jameshardenedit #houstonrockets #rockets #hardenedit #harden",10,15,12043476
177766,nba_every_thing,"A nice edit of legendary james harden #nba #jamesharden #nbaedit #edit #jameshardenedit #rockets #nbarockets",0,12,12043476
628497,da_best_fx,"#jameshardenedit tag him so sees it @jamesharden13",1,14,12043476
609185,madeline.vsp,"|until i make you mine|
鈥?dt: @_stephen.curry.30 @stephencurry30 
ac:  @etherealaudios_ 
cc: me
鈥?#calebleblanc #caleblogan #calebloganedit #calebleblancedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #stephencurry #stephcurry #stephencurryedit #stephcurryedit #ayeshacurry #ayeshacurryedit #stephenandayeshacurry #stephandayeshacurry #stephandayeshacurryedit
#chrispratt #chrisprattedit #johnkrasinski #johnkrasinskiedit",0,4,324599988
160436,stephencurry_mvp30,"Gn#dubnation it鈥檚 game day on Sunday #stephencurry #warriors #playoffs #splashbrothers #webelieve #klaythompson",4,73,324599988
974622,madeline.vsp,"-we could build a dynasty-
鈥?dt: @its.greys.anatomy @miac.king_ @chakie_ebrahimi 
ac: @etherealaudios_ 
cc: me
鈥?#calebleblanc #caleblogan #calebloganedit #calebleblancedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #stephencurry #stephcurry #stephencurryedit #stephcurryedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #ayeshacurry #ayeshacurryedit #stephenandayeshacurry #stephandayeshacurry #stephandayeshacurryedit
#chrispratt #chrisprattedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #johnkrasinski #johnkrasinskiedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring",0,13,324599988
391800,stephencurry_mvp30,"Gm#dubnation it鈥檚 game day on Sunday #stephencurry #stephencurryvideo #splashbrothers #klaythompson #webelieve",5,974,324599988
35137,stephencurry_mvp30,"Gn#dubnation the warriors beat the clippers 132-105 The warriors lead the series 2-1 #stephencurry #stephencurryvideo #splashbrothers #klaythompson #webelieve",6,835,324599988
283,austinys2k,"馃敟馃挴馃挴 Follow @austinys2k For More ! #stephencurry #stephencurry #stephencurryedit #stephencurry30 #curry #curry30 
#basketball #basketballedits #basketballedit #lebronjames #lebron #kyrieirving #sethcurry #curry6 #funnyvines #explorepage #explore #likesforlikesback #likes #likeforlikes #followforfollowback #follow4followback #followme #funnyshit #viral #wshh #worldstar",0,36,324599988
896004,madeline.vsp,"~you da one~
鈥?dt: @prattprattpratt @prattpratt_brasil 
ac: @audiosiconic 
cc: me
鈥?#calebleblanc #caleblogan #calebloganedit #calebleblancedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #stephencurry #stephcurry #stephencurryedit #stephcurryedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #ayeshacurry #ayeshacurryedit #stephenandayeshacurry #stephandayeshacurry #stephandayeshacurryedit
#chrispratt #chrisprattedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #johnkrasinski #johnkrasinskiedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring",0,20,324599988
479169,stephencurry_mvp30,"Gm#dubnation it鈥檚 game day let鈥檚 get the w #stephencurryvideo #splashbrothers #klaythompson #webelieve",9,1173,324599988
707834,stephencurry_mvp30,"Gn#dubnation game 3 is tomorrow #splashbrothers #klaythompson #webelieve #stephencurryvideo",5,1896,324599988
101662,madeline.vsp,"imma need a second
鈥?dt: @johnkrasinski @john._.krasinski 
ac: @purplehaybae 
cc: me
鈥?#calebleblanc #caleblogan #calebloganedit #calebleblancedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #stephencurry #stephcurry #stephencurryedit #stephcurryedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #ayeshacurry #ayeshacurryedit #stephenandayeshacurry #stephandayeshacurry #stephandayeshacurryedit
#chrispratt #chrisprattedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #johnkrasinski #johnkrasinskiedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring",0,22,324599988
384808,stephencurry_mvp30,"Splash馃挦馃憣#stephencurryvideo #dubnation #splashbrothers #klaythompson #webelieve",5,682,324599988
619054,madeline.vsp,"strapped down like a cowboy馃 (he made all of the shots in the clips)
鈥?dt: @stephencurry30 @ayeshacurry @_stephen.curry.30 
ac: forgot lol
cc: me
鈥?#calebleblanc #caleblogan #calebloganedit #calebleblancedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #stephencurry #stephcurry #stephencurryedit #stephcurryedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #ayeshacurry #ayeshacurryedit #stephenandayeshacurry #stephandayeshacurry #stephandayeshacurryedit
#chrispratt #chrisprattedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #johnkrasinski #johnkrasinskiedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring",0,16,324599988
940846,the_deadshot23,"Curry 馃槑
@stephencurry30 
#nba #nbabasketball #nbaallstar2019 #nbaplayoffs #nbaplayoffs2019 #3pointshooter #nbaallstars #nbakicks #nbapointguard #stephencurryedit #stephcurry #stephcurrywiththeshot #mvp #stephcurry30 #basketball #nbabasketball #nevermiss #nba2k19",2,37,324599988
847069,stephencurry_mvp30,"Gm#dubnation the warriors play the clippers on Thursday ##splashbrothers #klaythompson #warriors #playoffsnba #webelieve",1,398,324599988
412803,stephencurry_mvp30,"Gn#dubnation the warriors fall to the Clippers 135-131馃う鈥嶁檧锔?the series is tied 1-1 #splashbrothers #klaythompson #warriors #webelieve #playoffs",4,140,324599988
522810,2.x.wavvy,"#stephcurry #gswarriors #threepointer 
#basketballedits #bestpginthenba  #stephencurryedit #gsw  #nba 
#bestedits #bestnbaplayer",0,23,324599988
375639,definevisuals,"Curry>His Whole Team

#nba #stephencurry #nbaedits #nbaedit #stephencurryedit #splash #water #stephcurry #wardellcurry #dellcurry #sethcurry #kevindurant #draymondgreen #demarcuscousins #klaythompson #gsw #gswarriors #golden #state #warriors #goldenstatewarriors #webelieve #splashbrothers #snake #design #designing #oraclearena #oracle

@nba @stephencurry30 @warriors",0,64,324599988
309765,madeline.vsp,"馃サ馃サ
鈥?dt: @prattprattpratt @chrisprattdiaries @prattpratt_brasil 
ac: @cynosurell 
cc: me
鈥?#calebleblanc #caleblogan #calebloganedit #calebleblancedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #stephencurry #stephcurry #stephencurryedit #stephcurryedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #ayeshacurry #ayeshacurryedit #stephenandayeshacurry #stephandayeshacurry #stephandayeshacurryedit
#chrispratt #chrisprattedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #johnkrasinski #johnkrasinskiedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring",1,16,324599988
421906,crossnposter_source,"Better Career so far? Stephen Curry or Kevin Durant?
Comment down below!
鈥?鈥?鈥?#crossnposter #warriors #goldenstatewarriors #warriorsgame #warriorspirit  #warriorshoes  #warriorsground  #warriors_kingdom #kevindurant #kd #stephcurry #stephencurry #stephencurryedit #dubnation #dubnation馃挋馃挍 #kevindurant35 #kevindurantmvp #stephencurrymvp",31,61,324599988
180238,stephencurry_mvp30,"It鈥檚 game day #dubnation warriors and clippers tip off at 7:30 let鈥檚 get the w #splashbrothers #klaythompson #warriors #playoffsnba #webelieve",6,162,324599988
635469,curry9935,"The real king 馃憫 
#mvp#warriors#playoffs#bestshooter#basketballedits#basketball#warriorsgame#goldendynasty#threepeat馃弳#threepeat#ruinthegame#goat#gameofthrones#basketballneverstops#stephencurry#stephencurryedit#niceart#nbaplayoffs#nba#champs#champions#nba2k19",0,41,324599988
636630,madeline.vsp,"wow.
鈥?dt: @johnkrasinski 
ac: @mutual.mp3 
cc: me
鈥?#calebleblanc #caleblogan #calebloganedit #calebleblancedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #stephencurry #stephcurry #stephencurryedit #stephcurryedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #ayeshacurry #ayeshacurryedit #stephenandayeshacurry #stephandayeshacurry #stephandayeshacurryedit
#chrispratt #chrisprattedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #johnkrasinski #johnkrasinskiedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring",2,26,324599988
276741,insta.amvs,"Credit - @spirit.wmv -
-
-
Ignore tags
#amv #amvedits #amvedit #edits #stephcurry #stephencurry #stephencurryedit #basketball #basketballedits #basketballedit #musicvideo",5,223,324599988
473818,dazzlingcaleb,"doesn鈥檛 feel the same鉂わ笍
鈥?dt: @officiallybratayley @iamabakedpotato @annieleblanc @hayley.leblanc @annieleblancxtra 
ac: @glowinghayden 
cc: me
鈥?#calebleblanc #caleblogan #calebloganedit #calebleblancedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #stephencurry #stephcurry #stephencurryedit #stephcurryedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #ayeshacurry #ayeshacurryedit #stephenandayeshacurry #stephandayeshacurry #stephandayeshacurryedit
#chrispratt #chrisprattedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #johnkrasinski #johnkrasinskiedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring",0,17,324599988
538866,sethaugustinee,"Curry pulled it from deep馃し馃徑鈥嶁檪锔忦煒别煠?,[],2022090453230730686,324599988
stephencurry_mvp30,4349032056,205,7,Gm#dubnation game 2 is tomorrow #splashbrothers #klaythompson #warriors #playoffs #webelieve""",2,112,324599988
272873,theonlylogicalwarriorsfanleft,"1st piece of the puzzle, Wardell

#nbaplayoffs #warriorsgame #warriors #stephcurry #stephencurry #stephencurryedit #goldenstatewarriors #goldenstate #bayarew #underarmour #ruinthegame #nbaplayers #gswhoops #sportsedit  #basketball #nba #nbabasketball",0,6,324599988
747769,stephencurry_mvp30,"Round one of the playoffs start today let鈥檚 get the w 馃敟馃挭#playoffsnba #playoffs #warriors #splashbrothers #klaythompson",9,97,324599988
920226,madeline.vsp,"~happy~
鈥?dt: @stephencurry30 
ac: @edit.backs 
cc: me
鈥?#calebleblanc #caleblogan #calebloganedit #calebleblancedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #stephencurry #stephcurry #stephencurryedit #stephcurryedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #ayeshacurry #ayeshacurryedit #stephenandayeshacurry #stephandayeshacurry #stephandayeshacurryedit
#chrispratt #chrisprattedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #johnkrasinski #johnkrasinskiedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring",2,33,324599988
357821,stephencurry_mvp30,"Gm#dubnation who鈥檚 ready for the playoffs tomorrow #warriors #splashbrothers #klaythompson #webelieve #stephencurry #playoffs",5,455,324599988
28426,stephencurry_mvp30,"Gn#dubnation the playoffs start on Saturday #warriors #splashbrothers #klaythompson #webelieve #stephencurry",4,248,324599988
68668,stxphencurry__,"饾晸饾晼饾晵饾暒饾暐饾暁饾晽饾暒饾暆馃挮
+
+
+
+
#stephencurryedit #dubnation #moodedits #basketball #warriors #sexyedits #mvp #california",0,13,324599988
258062,stephencurry_mvp30,"Gm#dubnation the warriors will face the clippers in the first round of the playoffs #warriors #splashbrothers #klaythompson #webelieve #stephencurry",6,624,324599988
84305,stephencurry_mvp30,"Gn#dubnation the warriors fall to the grizzlies 132-117 who鈥檚 excited for the playoffs #stephencurry #warriors #webelieve #splashbrothers #klaythompson",7,400,324599988
647339,stephencurry_mvp30,"Gm#dubnation it鈥檚 Game day Vs the grizzlies let鈥檚 get the w #warriors #webelieve #splashbrothers #klaythompson #unitedwewin",3,427,324599988
983780,stephencurry_mvp30,"Gn#dubnation the warriors beat the pelicans 112-103 #warriors #webelieve #splashbrothers #klaythompson #unitedwewin",7,712,324599988
976884,icon.visuals,"Stephen Curry poster available now on my store馃敟馃挧
Go check it out! 
Only 25 available!",2,94,324599988
933076,stephencurry_mvp30,"Gm#dubnation its game day Vs pelicans let鈥檚 get the w #warriors #webelieve #splashbrothers #klaythompson #unitedwewin",13,227,324599988
734731,madeline.vsp,"crazy over you鉂わ笍
鈥?dt: @prattprattpratt @chrisprattdiaries 
ac: @glowinghayden 
ib: @glowinghayden 
cc: me
鈥?#calebleblanc #caleblogan #calebloganedit #calebleblancedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #stephencurry #stephcurry #stephencurryedit #stephcurryedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #ayeshacurry #ayeshacurryedit #stephenandayeshacurry #stephandayeshacurry #stephandayeshacurryedit
#chrispratt #chrisprattedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #johnkrasinski #johnkrasinskiedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring",0,23,324599988
874424,ha.sports.edits,"Considered a legend at GSW? | Stephen Curry edit | Tag a Golden State Warriors fan! | #edits #editz #gsw #goldenstatewarriors #30 #nba #stephencurry30 #stephencurry #stephencurryedit",0,16,324599988
167929,heziproductions,"Steph Curry enjoying his last oracle arena regular season game rocking the throwback we believe jerseys 馃敟#stephcurry #stephencurry #stephencurry30 #stephcurryedit #stephencurryedits #stephencurryedit #webelievewarriors #oraclearena #goldenstatewarriors #odetooracle #explorepage #nbaedit #stephencurrymix #hoops #basketball",6,74,324599988
216373,stephencurry_mvp30,"Gn#dubnation the warriors beat the clippers 131-104 Steph finished with 27pts,4ast,6reb the warriors have played their last regular season game at Oracle arena 馃槶馃挃#warriors #webelieve #splashbrothers #klaythompson #unitedwewin",7,176,324599988
578078,curry_steph_king,"Before and after #stephcurry #stephencurry #stephen #stephencurrymvp #stephencurryedit",0,3,324599988
241267,stephencurry_mvp30,"Thanks so much for 3k#dubnation I couldn鈥檛 of got here without you guys I love all you guys 馃挋  wear headphones 馃帶 
Sorry for this bad edit i rushed it 
Dt tagged",13,98,324599988
472104,sethaugustinee,"Curry highlights against cavs",6,259,324599988
636718,stephencurry_mvp30,"Gm#dubnation it鈥檚 game day Vs the clippers let鈥檚 get the w #splashbrothers #klaythompson #warriors #unitedwewin",7,176,324599988
767278,icareyhoney,"horses in the back! 馃槀 #stephencurry #aftereffects #curry #stephencurryedit #edit @stephencurry30 @stephenscurrys 馃挄",16,37,324599988
926237,madeline.vsp,"sex money feelings die
鈥?dt: @stephencurry30 
ac: @leblancslight 
cc: me
鈥?#stephencurry #stephcurry #stephencurryedit #stephcurryedit #vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #ayeshacurry #ayeshacurryedit #stephenandayeshacurry #stephandayeshacurry #stephandayeshacurryedit",2,20,324599988
329348,stephencurry_mvp30,"It鈥檚 game day #dubnation tomorrow Vs the clippers also the warriors got the w yesterday and Steph finished with 40pts,6reb,7ast #splashbrothers #klaythompson #warriors #unitedwewin",11,171,324599988
868030,mfkvngmulti,"( repost because it flopped lol ) baddie mwah馃挀馃挊馃挒 .
鈥?i actually like this edit hehe . 
ac luvuria (sc) + my voiceover 
cc explore bih + ua 
time ( 55 mins) || sc ( finecarlex + mines ) || fc ( like 323)
TAG HER PLEASE AND THANK YOU !!! < @desireemontoya @mfkingdesii #desireemontoya #explore > 
para natalie, des, brandy, and tagged 馃サ馃拤馃拫 .
please tag des i miss her .
- she liked & commented x1馃挒",12,143,324599988
352106,stephencurry_mvp30,"Gm #dubnation it鈥檚 game day Vs the cavaliers let鈥檚 get the w #splashbrothers #klaythompson #warriors #unitedwewin",2,105,324599988
156438,its_gessi,"Come to the bank馃挼 鈥?鈥?鈥?鈥?鈥?鈥?Stephen Curry馃か馃弨
鈥?鈥?鈥?鈥?鈥?
I tried my best馃槗
#stephencurryedit",5,22,324599988
725873,glvder,"鈥?these two softies that deserves more appreciation
[ac kinetic.audios // cc ccpcolor // dt ney,ayumi and kell] @ijessewilliams @stephencurry30",39,40,324599988
160052,stephencurry_mvp30,"It鈥檚 game day Vs the the lakers let鈥檚 get the w #splashbrothers #klaythompson #warriors #unitedwewin",2,161,324599988
622638,thatonenbaguy,"When Stephen Curry puts in Mike and Lebron but not Kobe 馃槀.
.
 #stephencurrythealbum #stephencurry3 #stephencurry1 #stephencurryvideos #stephencurrymvp #stephencurryshoes #stephencurry_88 #stephencurrywiththeshot #stephencurryinmanila #stephencurryfans #stephencurrystyle #stephencurrynation #stephencurryfan  #stephencurry30_sc #stephencurryklaythompson #stephencurry30 #stephencurryplus #stephencurryvideo #stephencurryismybae #stephencurry4 #stephencurry30馃弨 #stephencurry馃弨 #stephencurrychallenge #stephencurrycards #stephencurry30mvp #stephencurry30updates #stephencurryfans2018 #stephencurryjersey #stephencurryedit #stephencurry",0,8,324599988
633034,arosedits,"like a /boy馃グ/
ac equivocal
cc o.rbital",13,145,324599988
297258,sports_animated,"@kellyoubrejr is nice wit it
What do you think?
-
Comment below馃憞
-
Show your friends馃懃
-
Follow @sport_animated for more awesome videos馃槣
-
馃毇Ignore馃毇
#ballislife #Basketball #basketballneverstops #basketballislife #basketballtraining #basketballplayer #basketballgame #basketballshoes #basketballseason#layup #nbaplayoffs #balling #warriors #nba #ball #sports #bron #dunks #nfl #slamdunk #lebronjames #nbabasketball #bucks #stephencurryedit",2,41,324599988
587185,stephencurry_mvp30,"Past X Present X Future",10,357,324599988
44151,stephencurry_mvp30,"Gn#dubnation the warriors beat the hornets 137-90 Steph finished with 25pts,6ast,5reb #splashbrothers #klaythompson #warriors #unitedwewin",13,237,324599988
459200,stephencurry_mvp30,"Gm#dubnation it鈥檚 game day Vs the hornets let鈥檚 get the w #splashbrothers #klaythompson #warriors #unitedwewin",5,267,324599988
163547,madeline.vsp,"he has made it so far馃お鉂わ笍
鈥?dt: @stephencurry30 @ayeshacurry 
ac: @dementedv 
cc: me
鈥?#stephencurry #stephcurry #stephencurryedit #stephcurryedit vs #videostar #edit #edits #videostaredit #vsedit #vsedits #videostaredits #vscoloring #ayeshacurry #ayeshacurryedit #stephenandayeshacurry #stephandayeshacurry #stephandayeshacurryedit",2,47,324599988
440136,stephencurry_mvp30,"Gn#dubnation Steph finished with 37pts,5ast,3reb but we couldn鈥檛 get it done tonight #splashbrothers #klaythompson #warriors #unitedwewin",12,461,324599988
710037,stxphencurry__,"V E R S A C E鉁?*
*
*
*
#stephencurryedit #dubnation #warriors #lebronjames #moodedits #basketball",0,23,324599988
229777,stephencurry_mvp30,"Gn#dubnation it鈥檚 game day Vs the Timberwolves #splashbrothers #klaythompson #warriors #unitedwewin",12,469,324599988
18771,stephencurry_mvp30,"Gm#dubnation it鈥檚 game day vs the Timberwolves tomorrow Did you guys like the game last night? #splashbrothers #klaythompson #warriors #unitedwewin",9,204,324599988
404526,stephencurry_mvp30,"Gn#dubnation got the w Steph finished with 28pts,10reb,7ast #stephencurryvideo #splashbrothers #klaythompson #warriors #unitedwewin",12,414,324599988
966316,basketballserver,"Which JERSEY do YOU like better? #basketball #basketballshoes #stephenasmith #stephencurry #stephencurrymvp #stephencurryvideo #stephencurrystyle #stephencurry30馃弨 #stephencurryfan #stephencurryshoes #stephencurry30 #stephencurryedit",1,7,324599988
618003,stephencurry_mvp30,"Gm#dubnation it鈥檚 game day tomorrow Vs the Grizzlies #warriors #unitedwewin #stephencurry",16,150,324599988
191064,curryupdated,"He just so dam amazing馃槶馃敟馃敟馃憫鉂わ笍 cred: @x.hyunnie_bee (hemin)
鈥?鈥?鈥?
#dubnation馃挋馃挍 #stephencurryedit #stephcurry #stephen #klaythompson #dubnation馃挋馃挍 #dubs #nbachampions #goat #edit #warriors #strengthinnumbers #Quinncook #kevindurant #dubcity #california #thebay #legend #boogiecousins #draymondgreen #nba #humble #basketball #alltimestars #allstar #curry #underarmour #mvp #3ball #stephgonnasteph",0,97,324599988
101312,pablogrizis,"colt 45 
vc: @rev.vfx",3,59,324599988
933368,stark_dheena,"Curry30馃槏馃槏
#currystephen #stephencurryvideo #stephcurry30 #stephencurry #stephencurrystyle #stephencurryfan #stephencurryedit #currysteph30_ #basketball #basketballshoes #basketballedits 馃槑馃槑",0,28,324599988
362905,st3ph0curry,"Pregame video",4,257,324599988
14418,st3ph0curry,"Steph and Family they are here",3,231,324599988
983377,stephencurry_mvp30,"Gn#dubnation got the w warriors beat the pistons 121-114 Steph finished with 26pts 9reb 3ast #warriors #unitedwewin #stephencurry #klaythompson #splashbrothers",12,85,324599988
873628,stephencurry_mvp30,"It鈥檚 game day Vs the pistons let鈥檚 get the w Steph is playing tonight #warriors #unitedwewin #stephencurry #stephencurryvideo",12,180,324599988
418007,hybridvillain,"Steph Curry 
cc hybridnik 
dt @hybridnik",5,112,324599988
469154,s_and_a_curry,"I can鈥檛 believe that I forgot her birthday was today! Well Happy Late birthday! 
@ayeshacurry @stephencurry30 
#stephencurry #ayeshacurry #stephencurryedit #nba",2,33,324599988
91747,stephencurry_mvp30,"Gn#dubnation we fall to the Mavericks 126-91 #unitedwewin #warriors #stephencurry",10,126,324599988
51273,s_and_a_curry,"Dam this is fire 馃敟 
@stephencurry30 @ayeshacurry 
Vc: @uhbellamy 
#stephencurry #ayeshacurry #stephencurryedit #nba",1,18,324599988
981122,st3ph0curry,"Steph x Ayesha",1,50,324599988
751792,st3ph0curry,"30 Ayesha",1,68,324599988
815591,st3ph0curry,"Lets go steph",1,63,324599988
822582,st3ph0curry,"They are here",1,40,324599988
666133,stephencurry_mvp30,"Gn#dubnation it鈥檚 game day tomorrow #warriors #unitedwewin #stephencurry",8,101,324599988
862922,lcvcless,"stream cherry by rina sawayama

shakes.  mixracle.  hvraethy.  boca.aep
eye bee.  c.onnected.  hybridnik
coloring and audio.  boca.aep
for isyss simone and jade",89,497,324599988
316209,stephencurry_mvp30,"Gm#dubnation it鈥檚 game day tomorrow against the Mavericks #warriors #unitedwewin #stephencurry",16,128,324599988
992281,ttv_violet,"鈥淎ll the things she said 鈥?馃挦馃挩 #stephencurryedit #stephcurry #nba #basketball",0,8,324599988
12775,stephencurry_mvp30,"Gn#dubnation got the w Steph finished with 15pts,7ast,4reb  3PT 5-12 FG 5-15 #warriors #unitedwewin #stephencurry",12,93,324599988
87030,trishvfx,"ac; mine (song: stuart-maxd)
for @flintvideos you鈥檝e inspired me lately to do something different like irlediting and experiment with velocity and overall try to make things look cool bc you always make your edits look cool :鈥? can鈥檛 wait to make more",31,137,324599988
