mediaid,caption,likes,comments,related_player_id
1936900955330515570,"Great win fellas! These type of milestones keep me going! Appreciative of everyone that helped make this moment (and hopefully many more) happen! #15K #dubnation #10inthetown #ruinthegame",1312683,6156,324599988
1933793746736148622,"Blessed for the next chapter!  @underarmour! 👀🔥 #Curry6",678980,4418,324599988
1927797914895606592,"Here we go! Here’s the trailer for #BreakthroughMovie! In theaters Easter 2019 🙌",889350,11937,324599988
1920174075860543905,"W for the Dubs!",632354,3429,324599988
1907632812468769091,"Hey @anwar thanks for inviting me and @britausa over to your “family’s” house for the holidays 😂. See what went down 👉 youtube.com/anwar",113036,1979,324599988
1906889724557480404,"s/o to @fullswingsimulators for helping me get my swing right 🏌🏻‍♂️",241627,1471,324599988
1905480465307402167,"Me- “Hey baby. Gonna stop by the driving range on the way home.”
Her-”....your loss!”
Me- “you right!”",1038135,4229,324599988
1903826542372653016,"@palm is out today. Let's get it baby!! 🙌🏽 🙌🏽 🙌🏽",632671,2440,324599988
1902629206866884473,"Nobody makes me bleed my own blood. Nobody! #halloween #peepthekicks #UAIcon",788000,2292,324599988
1901993646397656251,"Don’t mind me while I brag on my wife real quick! 
Head over to @playerstribune for my conversation with @neymarjr.",756944,5204,324599988
1901287525320112870,"That boy Killa Klay🔥...why you have to go and do that to me man?!? Congrats bro.....Shooters Shoot! @klaythompson #ruinthegame #headbandklay #14 #MakingRoccoProud",1275885,5683,324599988
1899107008407612478,"Let’s play some basketball!!! #dubnation #fergieremixchallenge",1388028,28047,324599988
1897767408619661340,"No idea what to say. #RuinTheGame",1901881,15496,324599988
1896444439591065380,"Mom always “setting” me up for success ya dig! 🏐 #VATech #3sportathlete",1610165,9835,324599988
1894127142071344319,"“They didn’t want ya Jonas! @jonasjerebko8 #dubnation",1134151,3845,324599988
1893187920762082424,"This is a story of faith for everybody. @devonfranklin thanks for bringing this to life. 🍿 ready April 2019",299843,1582,324599988
1891985176667665869,"This one was special! 3x Champ...Love my brothers until the end, but we want some more #back2back #godisgreat #dubnation",981623,4295,324599988
1890757033848107914,"Hyped to bring @palm back and share everything we’ve been working on since day 1! #LetsGo #LiveInTheMoment",497458,2396,324599988
1889100707359354178,"10-12-18 My dudes first game tonight!  so surreal. He’s Staring at my hairline probably thinking “please God, bless me more abundantly than this...” #youngwolf",2013843,9131,324599988
1887406867552193200,"Big Moves for the big guard in a big man’s body @joelembiid...welcome to the @underarmour family! #sqUAd #biggerthanbasketball",439778,1203,324599988
1885970037942325358,"Back at it in front of #DubNation tonight. Preseason shme season....",720483,2733,324599988
1882542487241066133,"Next Level show tonight! @lecrae @andymineo #116 #unashamed",492398,1801,324599988
1879554773763917002,"Jump in the Air if you’re in the dirty 3️⃣0️⃣ club! Happy birthday @easymoneysniper! 1988 was a great year! Let’s get it!",707194,2826,324599988
1875805013416569812,"Year 10 on em! Time to work. Make this last run in Oakland everything it’s supposed to be! #JustUs #dubnation",857499,6023,324599988
1868692515807038794,"All smiles! 30🏀 x 10⚽️ x 🇫🇷 @neymarjr 
You are a true inspiration on and off the field bro! Pleasure to hear your stories and understand why you are the person and player you are today! More to come.",1671282,6505,324599988
1868131914462541966,"Merci beaucoup pour votre accueil Paris! #sc30",765371,2156,324599988
1867230149622010360,"Throwing 🔥. Wearing 🔥. #SC30AsiaTour",606995,1214,324599988
1866631940889594990,"Hey @jeronsmith....“ain’t nothing over there!” #sc30asiatour #tokyo",502073,2639,324599988
1865319561505340649,"Choushi wa douda Tokyo!! 🇯🇵🍣 #SC30AsiaTour",514664,2413,324599988
1865085108803825570,"“You said the @panthers did what now?” Let’s get it baby 1-0 @cameron1newton @underarmour",608699,1405,324599988
1863537074957635265,"All smiles for the 3x3 Champs in Manila yesterday! I’m keeping that trophy tho #sc30asiatour #Shampionship",611823,2353,324599988
1862462920397168214,"Already missing the fam!  But The #sc30asiatour is here. Let’s get it. #wireddifferent #manila #wuhan #tokyo",1394076,4849,324599988
1859091270926814856,"“You know we too cute to have to sit and listen to anything you say right?” #flowergirls #theydidit",1659637,5496,324599988
1856414231350298704,"An E True Hollywood Story.... @sydelcurry you are now immortal with @elonvb #legendsneverdie (📸@tjcowie)",289729,702,324599988
1855438433738890367,"Congrats on an amazing career @manuginobili. You embody how basketball is meant to be played. With Passion, joy, and obviously a Champion through and through. You are an Inspiration to many sir. Enjoy the rest of your life to the fullest!",1016220,3585,324599988
1852654240734779209,"Happy Bday @sdotcurry! Just glad to see you on a different mission these days. Love you bro. #StarStuddedYear",601280,1585,324599988
1846124287809686114,"The future is bright! Excited for my inaugural women's-only 'It’s Our Game' basketball camp with the @warriors #basketballisbasketball",565749,2145,324599988
1841728046694748074,"Wear testing something new 👀",752323,4812,324599988
1841217780798310612,"🔥 I drew up a dope play and @_bryanantoine called Game!! Great way to end the 5th #sc30selectcamp. Truly appreciate the guys and girls coming through and getting better. Back next year @uabasketball",369900,1849,324599988
1840510869429818056,"Just a reminder to myself to cherish these moments and smell the roses! #squad",851895,2340,324599988
1835858386429631357,"Episode 5 of my #5MinutesFromHome series is now up with @JesseWelle. We talk Eagles Super Bowl, his love of Goodfellas, and what it takes to make it on YouTube (I need those tips). Check the link in bio or IG story for the full video, and let me know what guests you’d like to see on the show",185545,941,324599988
1835043217685105414,"Happy 7th Anniversary baby! Just yesterday- We looked at each other in awe of the many blessings God has granted us! And the sacrifices you make on a daily to make us go are forever noticed and appreciated. Can’t imagine life without you. More love, more growth, more everything! 7/30/11 WSC x AC 😎 @ayeshacurry",1183837,5885,324599988
1827330800528135130,"SIX!!!! Missing teeth and all- love every bit of you! Keep leading the pack strong baby girl. #rileyroo",1059046,4831,324599988
1826575414296816753,"S/o to @variety for the love. Doing some special things with the A1 team! @jeronsmith @erickjpeyton @bryantabarr #sc30 #unanimousmedia",336348,1854,324599988
1825915391982064697,"Back like we never left! Turning the page to what’s ahead... #Curry5 #ShirtGame100",376044,1089,324599988
1824409166976729131,"Lake Tahoe, you old sailor you! Even though Pops beat me on the bet, solid T-11 this week on the ⛳️. Back at it next year. #dubnation showed out as always. @trayfour @aaronrodgers12 y’all weren’t bad yourself.",432502,1172,324599988
1823603804749017847,"Moments before we became a family of 5. Yeah I have something special! #supermom @ayeshacurry",962414,3008,324599988
1822914946638108384,"We know what we are doing out here! @acchampionship",560081,1928,324599988
1821541109409512343,"😂😂😂 “Where’d it go????” 😂😂😂 @bryantabarr @acchampionship",252056,1042,324599988
1820775174805137300,"Shout it to the rooftops Happy Birthday Chookah Chookahs! If I ever need a laugh or to get checked- I know who to turn to! You are one of a kind! Love you. #BigThreeYrOld",645981,2618,324599988
1816372769003068276,"On this journey, on this quest... protect me... I’m bless!  Canon W. Jack Curry @ayeshacurry",2058784,38501,324599988
1813434673873786145,"Starting em young! ⛳️💯 (🎶 @bizzle)",840777,4392,324599988
1809000841508579345,"Check us out tonight on @familyfeudabc 8/7C. Going head to head with @cp3 and Family! #CelebrityFamilyFeud",747275,5089,324599988
1806810915715411888,"This was taken about 3 months after the 2009 @nba draft....then Phoenix Suns GM congratulating me on making it to the league. 9 years later, you know the rest! Good luck and blessings to the 60 guys that hear their name tonight. But it’s a long journey filled with everything, so enjoy every minute of it tonight and get to the real work! #whatamiwearing",1028997,3495,324599988
1803892301980589164,"Happy Father’s Day to #TheOriginator - thanks for paving the way but always giving us the freedom to learn on our own and be there for us no matter what! Love you and sorry that I’m always beating you in golf now. But not really sorry. #BoYaNek",1052003,2773,324599988
1801129390940162643,"Tonight I’m hanging with @MrDrewScott and @MrSilverScott on #brovsbro - going to find out who can cut in on the court! airs on @hgtv at 9/8c",672712,1822,324599988
1800546281115071612,"This one time....at the parade 🤷🏽‍♂️",1110847,3975,324599988
1800346175795349531,"aye @fbccbayarea.....this is for you!",1307451,5525,324599988
1800344068274954253,"Stuck daydreaming about all the memories this picture captures. Appreciate everything you do @ayeshacurry",2038111,8184,324599988
1798305208443513334,"Whatchu looking at bro?!?",1817055,13600,324599988
1797763531521829813,"No words!! #triplecrown #dubnation",2650065,21838,324599988
1756642759806215369,"🚨 Restock alert 🚨",747806,13436,324599988
1755693899617381765,"Soon come...",1021370,9407,324599988
1755287502522138866,"Experience builds resilience, when you train the mind, the body will follow, thanks to @kpthrive for helping me tell my story. Chapter 2 is launching on 4/14 #trainthemind #mentalhealth",527552,2215,324599988
1754756046917924330,"S x S x S #nationalsiblingday",738510,1718,324599988
1750523534116934060,"Goodnight everybody! @themasters",752364,3999,324599988
1741716059507102791,"Happy happy happy happy 29/Twenty-Fine birthday to my baby @ayeshacurry. Keep shining your light every single day! I love you #noflings",1410421,7626,324599988
1736875911854297006,"Every Dog has their day! Congrats @umbcathletics #checkthekicks #ua #C4",715310,2156,324599988
1735897604882993906,"Game time! Watching my boys go to work today! #TCC",538739,1656,324599988
1734550247948112915,"I don’t even know what to say about last night! Thank you @ayeshacurry for bringing this to life and helping me celebrate the 30th in the best way...with my family, friends, teammates, and errybody else! S/O @lecrae @paramore @e40 @devontee_woe for making the time to turn the vibe all the way up! #dirty30 #30turns30. (📸@cassyathenaphoto)",1062412,14808,324599988
1730889477964374201,"Blessed #internationalwomensday To the women pictured above and all the women they lean on everyday for encouragement and inspiration! I’m surrounded by beautiful, intelligent, and driven women who are fearfully and wonderfully made. Thank you for being you and making every room you walk into brighter along the way. Not who I am without you.",561011,2970,324599988
1724938136356074362,"The inspiration for the shoe I’ll be playing in today is every boy and young man of color in this country that need to know they matter - to their communities, their country, to me. Four years ago this week, the @mbk_alliance was created to reduce barriers and expand opportunity so nothing stands in the way of everyone achieving their biggest dreams. I've been proud to be part of that mission from day one, and I'll never stop being my brothers' keeper.  I will auction these shoes and donate the proceeds in support of this critical movement.  Please visit IamMBK.org to learn more about the My Brother's Keeper Alliance.",594767,5709,324599988
1717984650237897463,"Always appreciative to play this Game! Took the L but leaving LA all smiles! #teamstephen #la2018 #nbaallstar #5x (📸 @cassyathenaphoto)",1059059,6288,324599988
1717624329770087892,"📸 cheesing all weekend!",652100,2484,324599988
1714809772580232883,"Grow up Stephen! 😂😂😂",694232,15784,324599988
1714722702494868370,"My Valentine! So glad I found you when I did 😍",1573188,5983,324599988
1706173676275111262,"Baby #3 Mood right here! Thankful for @ayeshacurry every single day for being the heart beat and spirit behind our family. 👶🏽 better be ready for the R&R show",926241,7636,324599988
1703534877921664110,#nightlife,860874,5549,324599988
1700236617547125132,"Clean Slate #nbaallstar2018",773000,6968,324599988
1699237029164052245,"Every step I do for them! #fam",948231,6237,324599988
1695849892695675887,"W/ @thesecondcity crew last night in Chicago. Comedy sliders all the way ⬆️",406819,1510,324599988
1695317228209277558,"Captain huh? Really Appreciate all the votes from the fans, media and players! Honored to be an All-Star. TGBTG!",260815,2085,324599988
1693327127707113495,"Introducing a new segment called “Never Seen it!”",1228436,19448,324599988
1693311475889981748,"Appreciate everything you stood for! Our job to keep the torch lit and use every bit of our being to keep moving forward! #mlk",482980,1554,324599988
1692221388259240119,"Toronto Fam! Love coming back to the #ACC and 🇨🇦. Only thing missing was my baby @ayeshacurry",657906,1882,324599988
1685744942229624772,"New Year’s Resolution: Filtering out water bottles with my man @RudyMancuso and @BritaUSA. Link in bio for more! #ad",1101038,17745,324599988
1682558476808773016,"A lot of highs and a couple lows. Stay on the same grind and mission as the last day of #2017 but pray God opens my eyes in #2018 to how I can become a better man every single day. Control what you can control and enjoy life man! Blessings for another great year to everyone!",1186592,4175,324599988
1682153342651957259,"All red everything, new #Curry4 Low Colorway from @UnderArmour benefitting @nothingbutnetsofficial drops 12/31. I'm honored to be the Global Ambassador for the @unfoundation's Nothing But Nets campaign to defeat malaria. Each pair sold sends a life-saving bed net to protect families from this disease. Don't miss it!",555051,8387,324599988
1681490087453602408,"The comeback is always stronger than the setback.  S/o @DegreeMen #AD",279688,1880,324599988
1681479438912513908,#Moms,840508,2422,324599988
1681039953070420400,#Pops,709481,2182,324599988
1679296089091522227,"#WeAreTheOnes...Watch & learn how to help all young people fulfill their potential, regardless of circumstance at iAmMBK.org #TheKeepersCode",239009,1631,324599988
1677941538170247588,"A Christmas W for the Dubs and now family time to celebrate the birth of our Lord and Savior Jesus Christ! Merry Christmas from the Curry Crew!",2444681,15611,324599988
1672976592760144996,"Wish I could be there tonight. Congrats @kobebryant. #Ko8e24",1112885,5245,324599988
1668766689900240022,"Prayers to the family of @mayoredlee. Always treated me and my family with great enthusiasm and respect! Supported every event I had and never saw him without a smile on his face. Rest In Peace and thanks for everything you did on this earth!",529536,4151,324599988
1666429823402192295,"No fear of missing out over here! Great road trip fellas! #DubNation",663265,5273,324599988
1666299084060915483,"Trucking around the Bay looking for gyms to drop into. Got some goodies for #DubNation and looking to hear from you! #SCAmbush",808721,6128,324599988
1659814920193095016,"Live it up tonight @asobel wish we could be there! 👀 for that Authentic Italian in LA —�-> @calmare_la",214425,3517,324599988
1656407884570859458,"Back in the Bay. 💍 time for @iclark21 aka Yan...congrats bro!",697185,8272,324599988
1656403856210503780,"#TheTown x #TheFanny -two more to go @javalemcgee",921881,4129,324599988
1653192801204251651,"No days off with @DegreeMen Deordorant. The more you move, the more it works. #ad",208609,2252,324599988
1652718956865218533,"Tune in to @jimmyfallon tonight! Been a fan, now a guest! #sheesh",886015,2364,324599988
1652580081865990862,"#DubNation in NYC 🤓",548098,4427,324599988
1648287811759091703,"Always focused. Always fresh. S/o to @DegreeMen Deodorant #ad",490590,2800,324599988
1645946093491690541,"As we celebrate Veterans today, let us be louder than all of this silence — and quieter than all of this noise. Link in bio!",387953,2219,324599988
1642387856758425174,"They make it all make sense! #squad",781988,3523,324599988
1641597032248574844,"Major congrats to the young phenom @cameron_brink finishing the job last night winning the 1st Oregon State Volleyball title in school history. So proud of ya!",257303,743,324599988
1641592793375771287,"Take flight @cameron1newton #keeppounding",238899,793,324599988
1636629387485083924,"Hello, I want to play a game. #Jigsaw #DubNation",912705,10625,324599988
1634941585781385256,"About a week ago.... #GogetThat #sdot #WeWill #44",979606,5408,324599988
1634570532794116004,"Shoutout to my man @kortneumann on killing the design of the #Curry4. It was great collaborating with you my man. Respect.",263530,1754,324599988
1630120556403690401,"Happy #23 to this one @sydelcurry! Always proud of you and keep shining that light! #lookingatyourbrightfuture",525044,2493,324599988
1628874534952361477,"@JOHNNYSWIM #INeedMeSomeHome",252510,939,324599988
1628649561486556418,"At least the first part of the night we were smiling! 💍💍. On to the next! #dubnation",670865,4326,324599988
1627281741943350570,"Getting off to a FRESH start this season with @DegreeMen Deodorant #AD.",269908,2195,324599988
1626537152277998017,"Thank you to #bushrodcommunitycenter for allowing us to come through and refurbish the indoor & outdoor courts for the Oakland Community. Thanks to @underarmour and @chase for making it happen!",250958,788,324599988
1620717617662844111,"About last night! #MoreMagic #ShanghaiNights (📸@cassyathenaphoto)",637010,3059,324599988
1620244541602961495,"Shenzhen —> Shanghai 🇨🇳",663392,2281,324599988
1618874739562938709,"Why so serious?!? #sneakerwars",847596,3792,324599988
1608941199506044029,"Just gonna leave this right here 👀. My wife @ayeshacurry is the newest member of the #covergirl team and I couldn’t be more proud of her! Keep pushing the envelope, inspiring women all over the world with the gifts God had given you and busting through all type of levels we couldn’t even have dreamed of. Love you! That’s Riley and Ryan’s momma 😍",655719,6797,324599988
1606901518211141215,"Do you wanna do nothing with me...?" (📸 @createdbyjazmiyagi)"""",854538,4341,324599988
1605965448720108319,"I'm nice with the right foot though...thanks to @chelseafc for having me at Stamford Bridge today. ⚽️",399805,2831,324599988
1600932926453891051,"This was fun! Me vs. My Daughter on the track. @infiniti Q50 for the win. 
#RoadOfHerDreams #ad @infinitiusa
#INFINITI #Q50 #performance #EmpowerTheDrive",328294,2992,324599988
1598189555268331744,"Up your hydration game with the Brita Stream this school year. Tag someone who’s thirsty @BritaUSA #ad",257723,3361,324599988
1591158788554165688,"#29 Years strong! Thank you for being an example through the ⬆️and⬇️. Love you!",589363,2223,324599988
1589453162887145387,"Thanks to @PSG for having me out to see the win! What a wild, crazy environment to be part of. #oracleofsoccer",1062731,4624,324599988
1589122415206786108,"We making memories! (📸 nobody but that tree and the timer!)",520503,1274,324599988
1588736195364534722,"Seeing the world with you is everything...I 👀 you 🇫🇷!",842542,3902,324599988
1587662083133161016,"Celebrating My brother @sdotcurry bday from afar. The boy making moves! Enjoy it to the fullest- love you hooli #flourishing",532541,1532,324599988
1582325711316822442,"Work! @brandjeron @bryantabarr",416704,4632,324599988
1582324482696064989,"Hyped The Players Technology Summit is finally here - thanks to @Bloomberg and everyone that made it happen",300912,839,324599988
1577974245521307820,"I 👀 you @jordanspieth dialing it in for the #pgachampionship. Charlotte on the big stage this week! Good Luck my man.",245151,759,324599988
1577751596681406186,"@desmith4 welcome to the sqUAd! I know you and @sdotcurry are going to have a lot of fun out there in Dallas. #TeamUA",510329,1334,324599988
1577315802624011137,"#704 x CCS/PD @ddotson_1",472270,859,324599988
1577056560176170634,"He's #SC30select camp alum now but always good to see @mpj",652919,1394,324599988
1576956647014810641,"I'm never satisfied, there is only more and better. That's what drives me. Check out my new #ad for the @INFINITI #Q50.",223088,1316,324599988
1576602759460013602,"The best part of my summer is helping the top H.S players in the 🌏 get better. This is what #SC30Select camp is all about. 
#BayArea come hang with me at Kezar Pavilion tomorrow at 6PM PT to watch these guys leave it all on the floor at the SC30 Select Showcase, airing live on #ESPNU at 9PM EST.",337983,636,324599988
1574413531338705117,"Many people receive praise for a lot of different things in this world. But there's no person that deserves it more than you Wes for taking this challenge head on and doing it with positivity, courage, grace and unbelievable spirit! We've got your back and we love you! #WesGotThis  #FOE",438047,1150,324599988
1574056641878525028,"Somebody in here it's your birthday!" Happy Birthday #44 @barackobama"""",690738,1881,324599988
1572167091409370823,"Surround by Greatness on the links today. Can't wait for Thursday. Thx for the knowledge @tmoorewps & @nickrouseygolf  @elliemaeclassic",288656,769,324599988
1571913155771297726,"There’s nothing quite like the sound of the ball on the asphalt, or the engine revving on the road ahead.  S/O to @infiniti and the new #Q50 #ad",510705,2542,324599988
1570604536186375108,"My woman! My life! My everything! “He who finds a wife finds what is good and receives favor from the Lord.” Proverbs‬ ‭18:22‬  Thank you for making me a better person each and every day! I love you. Happy Anniversary baby...#six",391437,3736,324599988
1570391229890432976,"Congrats to the new Mr. and Mrs. @hbarnes . Unbelievable ceremony! Many blessings & prayers for a bright future for you guys. Now back to the best coast! Been too long",554189,1323,324599988
1568119699835796596,"Central -> Seoul #MyGod",825216,2796,324599988
1567961017756111596,"No clue she had 👀 like that! #SeoulMates @ayeshacurry",751084,7112,324599988
1567220809167037840,"Thank you for braving the heat Hangzhou. It was great hanging out with you today at the grand opening of @underarmour's new Brand House. #SC30AsiaTour",376821,819,324599988
1567094288096068172,"Much love, Chengdu!  #SC30AsiaTour",278778,445,324599988
1567093953508013102,"Chengdu sqUAd. #SC30AsiaTour",420603,660,324599988
1565615518793136543,"I see you #Chengdu #SC30AsiaTour",462498,1034,324599988
1565107711228647914,"Hard work breeds champions. The new generation of players in 🇨🇳 got next. @uabasketball @jrnba",529383,1241,324599988
1564459956516875145,"No days off in Beijing. #SC30AsiaTour",413216,1866,324599988
1564288483453925722,"#familybusiness @sdotcurry",220936,396,324599988
1564105965748606540,"Ni-Hao, Beijing. I'm excited to tip-off the third annual #SC30AsiaTour with @uabasketball. Keep it 🔒 here to follow my journey throughout Asia all week.",565348,2133,324599988
1563188162099057809,"Getting shots up, even at my @infiniti #Q50 commercial shoot! More to come.",699433,5998,324599988
1562640059872619116,"5 years ago you changed our world! Couldn't have imagined a more ferocious, creative, confident, joyous, caring and spontaneous little girl to call my daughter. Love everything about you! And even though daddy still struggles to do your hair, the responsibility as your father stays front and center for me every single day! #Unicorn #RyRy #5 #podiumgame",783624,5269,324599988
1560569033571621423,"Tahoe showed out again! Solid 4th Place finish. Best round of my life! Mean tan lines. Pops paying up on our bet! Great memories! #Curry4 #golfinginjoggers @acchampionship",600255,2015,324599988
1559839763182143642,"Quick 18 with @justinTimberlake @tony.romo today! Same time tomorrow fellas? @acchampionship 📷: Jeff Bayer",428896,993,324599988
1557734010300526555,"Everybody needs a reason to get dressed up every once in a while! Issa Photoshoot with my baby! @michaelcostello @byslr",780391,3610,324599988
1557642032527381732,#Ballers,484153,1163,324599988
1557560877023223091,"That time of year for @SDotcurry! http://Sethcurrycamp.com",142964,399,324599988
1556724329297940805,"Not as many 3's out here but we try! @trayfour",590466,1988,324599988
1556073569115500133,"I'm sorry daddy. No pics on the bday for me please. Just let me live!" -Baby Ryan! Happy 2nd birthday my princess!"""",712236,2389,324599988
1554878201560550353,"🎶 A little party never killed nobody...right here right now is all we got.." celebrating @serpesam & @24baze special night!"""",777344,1764,324599988
1551759745747207192,"July 4, 2017. One for the books! (📸 @createdbyjazmiyagi)",985824,4148,324599988
1551113442809632577,"One time for the one time! #dayone",697965,2609,324599988
1548310287315233073,"#704 & @williamluoni",354155,1897,324599988
1548280167624052590,"I don't know what I just saw @ayeshacurry but it was pretty dope! #swaggy",427560,2506,324599988
